reviewId,userName,content,score,thumbsUpCount
99a9f884-c904-404c-83e8-6c81f08e7bde,Adri Tamanna,"gila memang nih aplikator!! naik versi sehari cuman di kasih 1 orderan, padahal keluar dari pagi pulang sampai malem.. edan loe semua!!!",1,0
13874255-62ab-4f19-9368-3f2aba7bab3c,Racka Opay,w ksh bintang 5 mudah3n orderan d lancarin,5,8
046e9c9c-00f7-4d5d-9e0e-25c680c0af72,Thomas Gorga,"sekarang gojek udh di akuisisi oleh grab..aplikasi dalam negeri di singkirkan aplikator dari luar,payah..gojek tinggal nama doang",1,33
9a3ecd20-378a-4fa6-a037-61becb0159e0,Muhamad Ridwan14,buruk,1,1
6accf317-c375-42b3-adae-07bcda2eb531,ardi wiro,"Perbaiki APKnya.. eror mulu, jgn hanya mau potongannya saja. lihat APKnya sering2 itu.. GPS sdh nyala aktip masih aja kendala GPS tidak terdeteksi. Dan lihat jarak penjemputannya sama tarifnya itu dihitung.",1,1
5dfa9cfa-ec10-420c-8630-42d08460e097,Khakim Jtm,bagus,5,0
152a098b-25f8-4f73-8dca-151182de6bfb,Yustianus Lambure,sistemnya sangat menyiksa driver,1,1
a4bfbf83-1335-4fe9-aa5a-2731aff44e40,dadang permana,"Untuk aplikasi lancarjaya aja,semoga bisa di andalkan untuk onbidnya tanpa delay panjang,untuk sebuah laporan mengenai order/ride fiktif,..ko drivers ga ada benernya sih,semua pilihan keluhan di ahiri dgn menyalahkan driver itu sendiri...🤦",5,1
97294021-77ed-4950-8722-28332dbe04d5,Yusufユスフ,"Perbaiki masalah doble order tolong dihapus! Pelanggan mengcancel secara sepihak tanpa konfirmasi dengan Driver, yang ditakutkan Driver pelanggan mencentang semua alasan cancel yang menyebabkan akun driver performanya menurun dan hal ini sangat berpengaruh untuk on bid dihari kedepanya, tolong jangan manjakan pelanggan yang berulah bahkan merugikan satu pihak, tolong buat kebijakan adil demi kesejahteran bersama antara driver dan pelanggan trima kashi🙏",1,0
05d4f9ce-c8cb-4e5d-b7dc-486e7a9f8d09,Sarni Zaula061,"saya tidak mau komen yang banyak males,intinya aplikasi ini nindas/sewenang2 tidak menghargai driver. cukup segitu saja jika di jabarin panjang males saja ngetik.",1,2
6f2d22ba-b338-4618-a28f-e842435a617c,Bulehary Hary,makin nyiksa drever yg kenyang orang orang kantor.,1,1
5fd7db58-891f-4a3b-a5a2-2ffe88c774c9,Ishaq Kobe,anyep euy udah 3 hari,1,3
a8e67cc7-8380-4704-9cee-5094f69ce7d3,dwi Anto,sistem tak manusiawi,1,0
d54cb1a6-42da-485e-88d8-53c4dacbe924,Rizki Prasetiyo,anyep,2,1
6a1f088b-2c1d-436f-85f4-af2a43db6af6,Marjuki,"aplikasi makin ancur, argo makin murah, rute mobil di suruh lewat rute motor, potongan gede, set tujuan di bikin susah gak seperti yang dulu lagi, suspen waktu bikin ribet kalu bisa kembali kan seperti dulu ga ada suspen2 an",1,2
0fa31ff1-c222-445c-9da6-03feafe87aba,Aripin Aripin,"orderan searah jam 5 sampai jam 8 malam tidak bisa dipakai, alhasil orderan searah jadi tidak terpakai lagi, malah bnyak driver jadi pulang lebih cepat, pulang jadi selalu kosong🤣 dasar tol lol jadi makin ngeblast lah",1,2
c93721eb-c0a5-4287-bb18-b23d5dc98305,Gojek Jakarta Driver,Suram hari depan.,3,3
0feb9ac0-1a51-4ff2-b35c-eccd8ebf9025,Best_ Factory,untuk layanan gocar mohon tarif di perbaiki karena ada beberpa Marka jalan dimana roda 4 boleh melintas dijam jam tertentu contoh jarak jemput 1km ongkos 11.200 tp kita jemputnya mutar jarak JD 4km karna harus mutar jauh karena rambu rambu,2,1
d598ed93-1fd8-45b2-abff-4ea34375b5b4,Tirai Kayu,"saat bener2 kepepet saya gunakan aplikasi ini, tapi harganya ini loh, mobil dan tenaga orang dibayar dengan sangat amat murah, luar biasa buat yang bisa bayar setoran mobil. apalagi cicilan mobil",5,0
3265da71-bdf5-439a-a1a8-24af9a96308a,Denal Coc88,Celakalah orang orang yang menghambat reski orang lain,5,1
019bc189-80cc-436b-9901-b9b501895db2,dede indri 99,"Pontianak kebanyakan goceng, yg reguler gak gerak ....Gilak 40 orderan tembus sehari goceng",1,4
5c9957f5-22e2-4129-a07c-1dbe3961a2ca,abd khaer,dari kemarin gue di bikin marah marah sm custumer...sekarang ada lagi.makanan gua gak masak..wajar gua dapat 2 orderan sekali guss,5,0
47209004-e249-41ea-8074-f40a55596c80,Aros Baelah,"udh gila nih gojek,argo goceng jemput 2 km ngnter 2-4 km,lu dongo apa tolol si gojek!?stress",1,74
1bbe9ca1-e0b4-475b-8b8f-d0ebcd0fc121,Rizky agung fadia Rizky,"gojek jarak deket makin pembodohan bener""gila gojek.nyesel",1,0
ca54b306-2285-4b49-967d-cb59a5132127,I Gusti Ngurah Bagus Ari Hermawan,pernah diantar sampe depan rumah meski tidak punya aplikasinya,5,0
6a8d308d-af4e-46d9-bbbc-0a9390542731,Norman Muhayatsyah,di perbaiki orderan teman teman dan saya dapat orderan jam 5 sore banyak yang tutup dan kita tidak dapat odera karena dibatalkan Surabaya usul,5,0
37d59be0-5eb1-4325-9640-7c5f89155444,Melsi Setiangsih,aplikasi sistem busuk,1,2
857057fe-f0a0-40f6-ae28-3fcade399c4e,Daryanto bg,😡,5,0
f72d6479-3272-4805-8b91-72446ad0fbf7,Bg Acil (Acil),"sistem yang hanya mencari untung sebesr besarnya dengan cara menzolimi kami sebagai mitra,balasannya pasti akan datang,tidak hari ini mungkin minggu depan,tidak minggu ini mungkin bulan depan,tidak bulan depan mungkin tahun depan pasti kalian akan menerima balasanny tidak diri kslian mungkin kelusrga kalian",1,23
d9d19cec-1a5f-4470-9451-25e4b3fdf744,Saimin Hadi pramono,akir2 ini kena apa orderan tdk rame( sepi) ada kendala apa dg gojek?,5,0
f7ec6e25-3d82-40e7-9ef3-a5ddedf065d5,Bahrudin Udin,sudah luas pngalaman,5,0
058404e2-a016-4c2e-8530-bb4ceba2b9aa,Medy Sumarno,makin ga jelas orderan ambil jauh.anter jauh.aplikasi perbudakan di mulai oleh gojek,1,20
a49a98dc-0271-4244-919c-a18d7b2b54d6,Dedi Saputra,"saya harap dari pihat aplikasi gojek jgn mendengar kan pemberian bintang dari pelanggan, kenapa kami driver terkadang gak rama atau sopan. itu semua ada alasan nya semua yang di buat sendiri dari pelanggan terhadap driver yang bikin kesal. kami yang di lapangan paham. tolong dari pihak aplikasi dengarkan keluhan dari driver",3,1
f678f851-5dcc-4ae6-8f05-a94cdce2c8d6,Wahyu Istiqomah,Semoga ceo gojek dan ceo goto dapat hidayah dan Rahman 🤲🏻 supaya kami driver di dengar aspirasi kita walaupun kita mitra tapi kita yang angkat anda gojek dan goto. ingat itu 🙏🏻,1,46
1db6835f-c567-4797-a0e4-740c37550ecf,Muhammad Safii,"sudah tidak seperti dulu lagi,pendapatan jadi menurun",2,0
37343ac7-fa02-44ce-a4c6-22b2adb59c7d,Jirahh,Allah Hummah Sholli Allah Sayyidina Muhammad. Wa'asgilis Zolimin BizZoOllimiin.. Udah 3'jam aktif lom di ksih Orderan lagi,1,3
d68ccfcd-0c05-4ec2-973c-a98ce17c0bd1,Khairul Anam,POTONGAN ELITE ORDERAN SULITT JIAHH SISTEM BOBROK KEBAKARAN KE LU,1,3
393f51e5-1309-47cc-989f-7ee1a00c5c56,Ojek Oleng,gacor dong,5,0
4b665afc-8e21-4787-8f31-1b76abd72bc4,sandi suwardi,semoga lebih gampang lagi buat cari orderan,5,0
2ccca2fd-4046-4e3b-85dc-cf6cc81bae30,Abdus Samik,"sehari akun gacor dan sehari akun anyep . gk konsisten meskipun ikut slot go ride . dan tolong untuk orderan goride saya sering di cancel costumer secara tiba2 belum ada 5 detik langsung di cancel sama pelanggan , itu sering terjadi",1,1
660bf2f6-9061-4e7e-a78c-fe6fa195a3ac,Ni kadek Sulasmi,makin hari makin jelek jemputan jauh2 ongkos gak ada tambahan ambil 3 sampe 4km baru jalan pertengahan di cencel sama kastmer,1,0
787dd1ff-1294-4f7e-9e92-722a8031a88a,Temas Iwan,"Wahai orderan, masukin dong order nya. Jangan mau kalah jika sebelah ada yang hemat",5,0
43b8e43d-fe69-425d-a290-5dccb3e486be,Mohammad Panggih,"program jarak dekat tp pengambilan ny jauh,zholim",1,2
72b9f9d0-f3d9-463b-98a8-293841775a62,Andriano Baik,JAM RAME MPUN SUSAH BUNYI,1,10
77bae364-784a-4011-964f-4880a80a6399,Putu Sukaja,pertama kali Makai aplikasi ini.,5,0
a1cc2475-71b2-4548-bdd4-9ca9152fc203,Pandu Achmad,gaspol,5,4
ffc7b691-a8ac-4c58-9eb6-5181dda6d960,Fauzi Ibrahim,"Sistem gopatner semakin ksni makin aneh...yg gacor tetap gacor..seharian cm di kasih 1 orderan kadang"" tdk dpt sama sekali...zonk!",2,3
3c40994c-c668-409a-95fb-5c5139e5e7c7,Zul Hendri,"Udah sering update orderan juga jarang di kasih potongan tuk driver jadi besar ,sangat kecewa dan juga ada perbedaan antara driver jarak dekat sama reguler padahal masih satu aplikasi bukan menyejahterakan tapi malah di paksa kerja rodi .. dan malahan akun jarak dekat saldonya minus 50 bisa sampai ada tagihan 200 lebih dan tetap masih dapat trip .. dan reguler minus 1000 saja susah mintk ampun tuk dapatkan trip. . jngn ambil untung trus dan jngn hanya di prioritaskan kan terus akun jarak dkt",1,14
5c2d7c47-8ae5-44f6-98db-ebf061623836,Nacing Start,narik pakai elektrum 2bulan nombok terus bayar sewa susah kalo si ono ada di gojek open member terus klo sampai gk di berantas dri orang dalam gojek percuma gojek punya s.o.p di larang pakai aplikasi tambahan dan oprekan fake gps ngejogrok di area ramai dan Deket spot orderan yg dpt jauh terus orderan tujuan searah gk pernah dpt orderan nya kacau gojek sekarang 😭😭😭,1,2
2f0d42f5-5ff1-4538-b1a5-4f7a38d55c04,apa saja 99,buat yang akunnya mbambet semono dapat kerjaan yang lebih dari gojek. gojek sekarang ga bisa di jagain sejak adanya slot dan instant instant. akun reguler cuma jadi penonton. PARA DRIVER SLOT&ACEENG SEMOGA CEPAT SADAR.🤡🤡🤡🤡🤡.,1,4
d9f5d2f6-ad9c-42a1-a1ce-8cfbe385dee7,Nurna 01,ok,5,0
05713ff1-330e-4aba-846f-bfcee0b97a87,KNPROJECT OFFICIAL,online 24 jam cuma dikasih 1 order.,1,6
d0c04b9d-97b5-4121-af18-cb8eb188d425,Samsudin Gambir,jugak bagus,5,0
112ea0f7-0b2e-45f3-be30-0f4e00396715,Andi Gojek,kasih yg terbaik lagi untuk para pengguna aplikasi gojek.,5,0
d6f00ea8-10c3-49f2-9d14-2f45ef5a49c4,Maryadi109,Aplikasi ngak jelas akun aktif tapi tidak ada orderan,5,0
8d0c6385-6fe4-45f5-a8c8-dc6ec93b88c9,Amri Wirayudha,ok,5,0
29df4b96-946c-49c7-b8e7-968b29d7e928,Riski Aulia,kompeni,1,29
8e202599-3e47-4ada-b90f-c1b7ded7576c,Chepa Chepi,"main slot bikin kacau klo dari area nganter keluar area jauh utk masuk lagi ke area slot ujungnya makan waktu udah argo murah nguber wktu utk balik lagi ke area!! dan yg bikin bingung dapat orderan dari luar area slot dan anternya masuk ke area slot ane kira di itung 1 poin,taunya poin ga di itung argonya juga sama 5000-6000! harusnya itu argo reguler dong boskuhh! kan ga masuk 1 poin! itungan sih bener 10 orderan dari jam 17-22 pikir dapat bonus. tau nya pas di liat krang 1 poin bonusny ilang",1,3
5cfeae46-5f6e-4861-914f-a57febe0bfab,Teten Muttaqin,mantap cuman kembalikan ke sistem dulu cara kerja gojeg,5,0
64a4abfa-bcbf-4735-93f4-5869cf8289d1,Saputra Allham,Dafatar audah hampir 3 minggu blm ada kabar. masih proses.. ya salaaammmmm..,2,0
22065743-5c74-4194-a208-5ad903572c51,Lianz Yulianto,tetap semangat gojekku,5,0
